文档 ID,文档名称,文档类型,来源部门,提交人,接收人,签收（章）人,交接日期,保管位置,备注,创建人,创建时间,最后修改人,最后修改时间
79,办公室网络故障处理报告,运维记录,,窦工,行政部,,2024-08-01,运维日志,交换机故障，已解决,ops_user,2025-04-11 02:43,,2025-04-11 02:43
80,季度培训计划与预算申请,培训计划,,章培训专员,HR经理,,2024-08-05,HR部门内部,申请Q4预算,hr_user,2025-04-11 02:43,,2025-04-11 02:43
81,竞品价格策略跟踪分析月报,市场分析,,云分析员,市场总监,,2024-08-08,市场分析报告库,7月数据,mkt_user,2025-04-11 02:43,,2025-04-11 02:43
82,新入职员工背景调查报告 - 李XX,背景调查,,苏专员,HR经理,,2024-08-10,保密文件柜,无风险,hr_user,2025-04-11 02:43,,2025-04-11 02:43
83,一个非常非常非常非常长的文档名称用来专门测试极端情况下的前端表格单元格内容是否能够正常换行或者显示省略号并且鼠标悬浮时可以显示完整内容,测试文档,,潘测试,前端开发,,2024-08-12,测试用例库,用于UI测试,qa_user,2025-04-11 02:43,,2025-04-11 02:43
84,系统压力测试报告 V2,测试报告,,郎测试,架构部,,2024-08-15,测试报告库,并发用户数达标,qa_user,2025-04-11 02:43,,2025-04-11 02:43
85,公司知识产权清单,法律文档,,常律师,管理层,,,法务部档案室,截止2024H1,legal_admin,2025-04-11 02:43,,2025-04-11 02:43
86,员工生日福利发放记录,员工福利,,乐助理,相关员工,,2024-08-18,,8月份,admin,2025-04-11 02:43,,2025-04-11 02:43
87,生产数据统计分析周报,生产报表,,丁统计员,生产经理,,2024-08-19,,W33数据,prod_user,2025-04-11 02:43,,2025-04-11 02:43
88,客户案例分享 - ZZZ公司成功经验,成功案例,,皮编辑,销售团队,,2024-08-20,公司官网/案例库,已发布,mkt_user,2025-04-11 02:43,,2025-04-11 02:43
89,这是一个只有标题的简单记录,其他,,录入员A,接收人B,,,,,system,2025-04-11 02:43,,2025-04-11 02:43
90,短标题,测试,,测试员,测试接收,,,,,qa_user,2025-04-11 02:43,,2025-04-11 02:43
91,这是另一个相对较长的文档名称主要目的是为了填充数据并观察列表显示效果,填充数据,,填充员,数据管理员,,2024-08-21,数据仓库,,data_admin,2025-04-11 02:43,,2025-04-11 02:43
92,供应商ABC的合同续签评估,合同评估,,卞采购,采购经理,孙总,2024-08-22,采购系统,建议续签,user1,2025-04-11 02:43,,2025-04-11 02:43
93,员工社保公积金缴纳明细表,薪酬福利,,齐专员,财务部,,,HR保密文件,2024年7月,hr_user,2025-04-11 02:43,,2025-04-11 02:43
94,网站服务器迁移计划讨论稿,技术方案,,元工,相关部门负责人,,2024-08-25,,内部讨论用,ops_user,2025-04-11 02:43,,2025-04-11 02:43
95,品牌宣传口号（Slogan）征集活动总结,品牌活动,,步经理,全体员工,,2024-08-26,公司内网,评选结果已公示,mkt_user,2025-04-11 02:43,,2025-04-11 02:43
96,与合作方DDD技术交流会议备忘,会议记录,,车工,合作方代表,,2024-08-27,,,dev_user,2025-04-11 02:43,,2025-04-11 02:43
53,合同,合同,,江川,张勇,刘勇,2025-04-10,624房间,测试,admin,2025-04-10 18:00,,2025-04-10 18:00
52,合同,合同,,江川,张勇,刘勇,2025-04-10,624房间,合同数据测试,admin,2025-04-10 17:57,,2025-04-10 17:57
